,link,moviename,vote_average,vote_count,img,director,scriptwriter,actors,place,language,secName,types,long,years,overview
0,https://movie.douban.com/subject/1291561/,千与千寻 千と千尋の神隠し,9.4,1563327,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,宫崎骏,宫崎骏,柊瑠美, 日本, 日语, 神隐少女(台) / 千与千寻的神隐 / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi,"['剧情', '动画', '奇幻']",125,2019,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。
1,https://movie.douban.com/subject/1292722/,泰坦尼克号 Titanic,9.4,1461328,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥, 美国, 英语 / 意大利语 / 德语 / 俄语, 铁达尼号(港/台),"['剧情', '爱情', '灾难']",194,1998,1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。
3,https://movie.douban.com/subject/26794435/,哪吒之魔童降世,8.5,1403549,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,饺子,饺子,吕艳婷, 中国大陆, 汉语普通话, 哪吒降世 / Ne Zha / Nezha: Birth of the Demon Child,"['剧情', '喜剧', '动画', '奇幻']",110,2019,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？
4,https://movie.douban.com/subject/33442331/,我是余欢水,7.4,200585,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574916002.jpg,孙墨龙,王三毛,郭京飞, 中国大陆, 汉语普通话, 余欢水 / 如果没有明天 / If There's No Tomorrow,['剧情'], 44分钟,2020,正午阳光与爱奇艺达成合作，推出基于余耕（本名王兵）小说《如果没有明天》改编的超级网剧《我是余欢水》，由《都挺好》编剧王三毛、王磊父子改编，孙墨龙执导，侯鸿亮制片。原著小说以诙谐荒诞的方式描写了社会底层小人物余欢水的艰难境遇与心路历程。余欢水懦弱胆小、退让隐忍，身患绝症反而给了他为自己活一次的勇气。经历了命运的捉弄，余欢水依然坚守善良，强大内心，他挺直腰杆，理直气壮地活出尊严，感知了幸福。
5,https://movie.douban.com/subject/30488569/,龙岭迷窟,8.3,148387,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2593664928.jpg,费振翔,杨哲,潘粤明, 中国大陆, 汉语普通话, 鬼吹灯之龙岭迷窟 / Candle in the Tomb: The Lost Caverns,"['剧情', '动作', '冒险']", 35分钟,2020,胡八一、王胖子和大金牙被村民编造的绣花鞋的故事所骗，前往陕西古蓝县。水路艰险，胡八一挺身让众人脱险。在招待所幸遇陈瞎子提醒，得以逃脱村民圈套。三人无意掉入“龙岭迷窟”遭蝙蝠袭击，发现身上长出红斑，决定在王大爷家修整，遇到同样来找红斑根源的shirley杨，并听闻了鹧鸪哨和了尘大师寻找雮尘珠的英勇故事。几人决心寻找雮尘珠，陈瞎子告诉他们“内藏眢”就在此地。村民故技重施，威胁胡八一等人寻找钱财，两拨人马前往洞穴，遭到蜘蛛袭击，被困暗阁，但大家齐心协力，化险为夷，最终进入了“棋盘”机关，众人协作，找到了龙骨天书，逃出洞穴，准备前往云南继续解密“红斑”。
6,https://movie.douban.com/subject/26752088/,我不是药神,9,1468995,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,文牧野,韩家女,徐峥, 中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语, 中国药神 / 印度药神 / 印度药商 / 生命之路 / Dying to Survive / Drug Dealer,"['剧情', '喜剧']",117,2018,普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。
7,https://movie.douban.com/subject/1291546/,霸王别姬,9.6,1477308,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,陈凯歌,芦苇,张国荣, 中国大陆 / 中国香港, 汉语普通话, 再见，我的妾 / Farewell My Concubine,"['剧情', '爱情', '同性']",171,1993,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。
8,https://movie.douban.com/subject/26387939/,摔跤吧！爸爸 Dangal,9,1094789,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,涅提·蒂瓦里,比于什·古普塔,阿米尔·汗, 印度, 印地语, 我和我的冠军女儿(台) / 打死不离3父女(港) / 摔跤吧！老爸 / 摔跤家族 / दंगल / Wrestling Competition,"['剧情', '家庭', '传记', '运动']",161,2017,马哈维亚（阿米尔·汗 Aamir Khan 饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连给他生了两个女儿，取名吉塔（法缇玛·萨那·纱卡 Fatima Sana Shaikh 饰）和巴比塔（桑亚·玛荷塔 Sanya Malhotra 饰）。让马哈维亚没有想到的是，两个姑娘展现出了杰出的摔跤天赋，让他幡然醒悟，就算是女孩，也能够昂首挺胸的站在比赛场上，为了国家和她们自己赢得荣誉。
9,https://movie.douban.com/subject/30166972/,少年的你,8.3,1020357,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg,曾国祥,林咏琛,周冬雨, 中国大陆, 汉语普通话, 少年的你，如此美丽 / Better Days,"['剧情', '爱情', '犯罪']",135,2019,陈念（周冬雨 饰）是一名即将参加高考的高三学生，同校女生胡晓蝶（张艺凡 饰）的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱（周也 饰）为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。
10,https://movie.douban.com/subject/27195020/,陈情令,7.7,1388193,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563766934.jpg,郑伟文,杨夏,肖战, 中国大陆, 汉语普通话, 魔道祖师之陈情令 / The Untamed,"['剧情', '古装']", 45分钟,2019,十六年前，天下五分，姑苏蓝氏，云梦江氏，清河聂氏，岐山温氏，兰陵金氏共治天下。温氏一家独大，其余四家均受其苦。众家青年中，江氏故人之子魏无羡性格开朗，和以雅正闻名的姑苏蓝氏弟子蓝忘机相识并引为知己。一次偶然的机会，二人发现了蓝氏一直以来守护的秘密，二人继承遗志，为苍生消除隐患。但没想到一切的幕后黑手正是温氏家主温若寒。众家不堪其辱，合力讨伐温氏。温氏覆灭后，魏无羡却为保护温氏无辜之人不惜与众家对立，最终被奸人所害酿成大祸，误害师姐江厌离，自己也不知所踪。十六年后，消失已久的魏无羡出现在莫家庄，偶遇故人蓝忘机。莫家庄一桩桩诡异的凶案显得扑朔迷离。随着真相一步步揭开，身处幕后的金光瑶渐渐难以隐藏。最后金光瑶身死，蓝忘机承担起了匡扶天下的使命，而魏无羡不忘初心，最终潇洒世间。
