,link,moviename,vote_average,vote_count,img,director,scriptwriter,actors,place,language,secName,types,long,years,overview
2,https://movie.douban.com/subject/6039412/,时光尽头的恋人 The Age of Adaline,6.6,44556.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2234995897.jpg,李·托兰·克里格,J·迈尔斯·古德洛,布蕾克·莱弗利, 美国, 英语, 阿戴琳的年龄 / 时光逆爱90年(港) / 时空永恒的爱恋(台) / 美人不迟暮,"['剧情', '爱情', '奇幻']",112,2015.0,1908年，阿戴琳（布蕾克·莱弗利 Blake Lively 饰）出生了，一晃眼27年过去，曾经那个哇哇啼哭的小婴儿已经长大成人，组建了属于自己的家庭，成为了一名母亲。然而，就在这人生中最幸福的时刻，一场意外的发生让阿戴琳徘徊在生死的边缘并最终幸运的死里逃生，然而，很快，阿戴琳就发现，自己的身体发生了某些奇妙的变化，她竟然不再变老，而是永远的停留在了27岁。
5,https://movie.douban.com/subject/4925418/,伤物语1：铁血篇 傷物語Ⅰ 鉄血篇,8.3,6354.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2271910694.jpg,新房昭之,西尾维新,神谷浩史, 日本, 日语, Kizumonogatari Part 1: Tekketsu-hen,"['喜剧', '动作', '爱情', '动画', '奇幻']",64,2016.0,樱花飞舞的3月25日，完成了一学期学业的午后。高二学生阿良良木历（神谷浩史 配音）从优等生羽川翼（堀江由衣 配音）那里听说了本町出现吸血鬼的传言。当晚，历在地铁站台见到了一个血淋林的女人。她四肢全无，痛苦求救。而女人的身后则站着一个金色头发却目光阴冷的身影，那难道就是传言中的吸血鬼？在这个夜晚，历与活了500年的吸血鬼姬丝秀忒•雅赛劳拉莉昂•刃下心（坂本真绫 配音）完成了命运的相逢……
6,https://movie.douban.com/subject/1292269/,骗中骗 The Sting,8.7,38289.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1227416748.jpg,乔治·罗伊·希尔,大卫·S·瓦德,保罗·纽曼, 美国, 英语, 老千计状元才(港) / 刺激(台),"['剧情', '喜剧', '犯罪']",129,1973.0,卢克领导着一个诈骗集团在芝加哥附近的约里埃特行骗。这天，手下人向他交了一大笔刚刚骗了的钱。不久，卢克就遭到了谋杀。原来，这笔钱是芝加哥的黑社会头目朗尼根（罗伯特•肖 Robert Shaw 饰）刚刚收回的赌款，正是这笔钱令卢克引火烧身。
7,https://movie.douban.com/subject/1394510/,十二国记 十二国記,9.1,32009.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1902914675.jpg,小林常夫,会川升,久川绫, 日本, 日语, 12 kokuki / The Twelve Kingdoms / 十二国战记,"['剧情', '动画', '奇幻', '冒险']", 25分钟,2002.0,有着血红色头发的高中女生阳子一心想做个好学生，得到周围人的认可。然而在她平静祥和的生活背后却是深沉的压抑与掩饰，一夜夜的梦魇给她带来无尽的烦恼与痛苦。一天，一头金发的男子来到她的面前，把她带入了另一个世界，一个充满未知却仿佛故里的地方。
9,https://movie.douban.com/subject/30403338/,某处，某人 Deux moi,7.4,2355.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561160705.jpg,塞德里克·克拉皮斯,圣地亚哥·阿米戈雷纳,安娜·吉拉多特, 法国 / 比利时, 法语," 巴黎寂寞不打烊(台) / Someone, Somewhere","['剧情', '喜剧', '爱情', '家庭']",110,2019.0,三十岁的雷米和米兰妮住在巴黎同一区。他们约见心理医生，目的是要认识“自我”。他们都是患有大城市孤独症的受害者，大家都以为在现今这以极速网络联系的世界中，交朋友会是很容易的事。在不知的情况下，二人分别走两条指向同一方向的路…… 朝向一个爱情故事的路？
10,https://movie.douban.com/subject/5975193/,爱情真善美,5.4,8909.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2536580719.jpg,沈怡,张雅郡,唐嫣, 中国大陆, 汉语普通话, 夏家三千金2 / 夏家三千金第二部,"['剧情', '爱情']", 46分钟,2011.0,夏家养女夏友善（戚薇 饰）和亲生女儿杨真真（张檬 饰）因名为钟皓天（陈楚河 饰）的男子而产生了矛盾，占有欲强烈的友善决定不惜一切代价得到自己想要的东西。夏正松（黄文豪 饰）和妻子杨柳（刘瑞琪 饰）不忍心看到女儿们之间手足相残，他们决定不再对家庭里剑拔弩张的气氛坐视不管。
11,https://movie.douban.com/subject/1307031/,星际牛仔：天国之门 カウボーイビバップ 天国の扉,8.9,22377.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454096953.jpg,渡边信一郎,矢立肇,山寺宏一, 日本 / 美国, 法语 / 德语 / 意大利语 / 葡萄牙语 / 西班牙语 / 日语 / 英语 / 阿拉伯语, 赏金猎人：天国之扉 / Cowboy Bebop: The Movie / Cowboy Bebop: Knockin' On Heavens Door / Cowboy Bebop: Tengoku no tobira,"['剧情', '喜剧', '动作', '科幻', '动画', '惊悚', '犯罪']",116,2001.0,2071年的万圣节前夕，火星上的大城市突然发生了令人惊叹的犯罪。高速公路上一辆油罐车爆炸了。事故发生现场的人们因不明原因病倒，死伤人数超过400人。这样大规模的杀人事件，似乎是不明来源的生物武器所为。为此，火星政府发布了3亿圆的赏金悬赏恐怖分子。目击事件的faye单独行动妄图独占赏金，艾德使用黑客技术找到线索，与Bebop号上的大家一起行动。四人一狗组合再次出动，但他们不知道，这3亿元的代价，是对抗前所未有的强大犯罪者。
12,https://movie.douban.com/subject/2354900/,空之境界 第二章 杀人考察（前） 劇場版 空の境界 第二章 殺人考察（前）,8.7,18695.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192136839.jpg,野中卓也,平松正树,坂本真绫, 日本, 日语, 空之境界电影版2：杀人考察(前) / Gekijô ban Kara no kyôkai: Dai ni shô - Satsujin kôsatsu (zen),['动画'],60,2007.0,1995年9月，16岁的两仪式与黑桐干也相遇了。
14,https://movie.douban.com/subject/3168062/,国家地理：人类消失之后 Aftermath: Population Zero,7.7,1608.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183435652.jpg,Christopher Rowley,艾伦·韦斯曼,雷格·E·凯蒂, 美国 / 加拿大, 英语, 人类消失后的世界 / 没有我们的世界 / 零人口的后果,"['科幻', '纪录片']",90,2008.0,"该片设定了一个有趣的背景，即：如果从明天开始，全世界60亿人类 ""集体消失""，地球会变成什么模样？影片将 ""人类消失"" 这一年当作 ""元年""，以全新的视角，通过动画模拟＋实地拍摄的方式，讲述此后数天至数百年内地球的变化。如果大家看过《I Am Legend》，该片的气氛与之有点类似。"
15,https://movie.douban.com/subject/3345619/,IT狂人  第三季 The IT Crowd Season 3,9.4,38390.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2273033874.jpg,Ben Fuller,格雷厄姆·莱恩汉,克里斯·奥多德, 英国, 英语, IT群英 第三季 / IT一族 第三季,['喜剧'], 23分钟,2008.0,地处公司地下一层的IT部门，故事仍在继续。除了发型的变化，二男一女的IT部仍然具有强大的吸引稀奇古怪事情的体质。
