,user,comment_time,votes,rating,text,sentiment,feedback
1,屠杀蟹黄堡,2020/4/6,3770,4,太惨了太惨了，但是由于男主是郭京飞还是忍不住发出感慨：“好啊，苏明成你小子也有今天！请不要因为他是TF老boys而怜惜，鞭挞他吧” 。（脑内替余欢水自动播放bgm“百因必有果 明成的报应就是我”）,1,1
4,深水步惊云,2020/4/6,2170,5,郭京飞开篇即遇车祸，错过互联网发展黄金十年，由美团创始人沦为社畜。,1,1
5,zing,2008/3/7,11183,5,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",0,1
8,白羽,2008/6/23,2265,5,"又是个成人动画,估计大部分中国观众很难体会什么.",1,1
13,文泽尔,2008/1/14,2488,4,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,1,1
16,夏天的风,2020/4/1,1209,4,这一部导演、监制、男一都和《怒晴湘西》都是原班人马，这次是黄土高原上《龙岭密窟》的探险故事，有蝙蝠群、巨型蜘蛛这些让人瑟瑟发抖的元素，紧张刺激的剧情挺期待的。潘老师演技一如既往地稳。本来对姜超的印象也还在李大嘴这个喜剧角色里，居然没让人失望，还挺贴合王胖子这个角色。,1,1
17,法克鱿,2020/4/1,1207,4,老胡是一个阅历丰富的乐观的有着自由意志的硬汉，可以说他有很多很“老北京”的特质，机智又强悍还有点痞痞的感觉。不得不说，潘粤明对胡八一这个人物最大的特点抓的非常清楚，演出来特别有味道。,1,1
18,喵小安~,2020/4/1,1366,5,老灯丝来聊聊观感，老潘的胡爷是沧桑中带着点儿颓废，北京糙爷们儿的扮相加上一口京片子的台词，有痞气更有正气；大嘴的王胖子从体型、台词、演技上基本没得挑，说胖爷活了我是认的；佟磊的大金牙，人如其牙，出场那几句台词说的是真讲究；五星好评先奉上，之后看情况吧,1,1
20,个篱,2006/11/16,9227,5,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,1,1
23,朋克布莱克,2011/7/11,775,5,第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...,1,1
24,蒜 | BOY A✎,2008/6/30,551,5,"爱情撼动全世界！2008.7.26 CCTV6
2018.4.19 爱奇艺",1,1
25,老鸡｜扶立,2008/1/10,23856,4,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,1,1
27,凯瑟琳小姐,2010/1/17,7133,5,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此,1,1
28,莫呼洛迦-屁股上的青春在歌唱,2007/2/25,6488,5,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。,1,1
32,Nalakuvara,2008/10/25,1925,5,或许是很多姑娘大叔控的根源。,1,1
35,忻钰坤,2018/7/4,48654,5,“你敢保证你一辈子不得病？”纯粹、直接、有力！常常感叹：电影只能是电影。但每看到这样的佳作，又感慨：电影不只是电影！由衷的希望这部电影大卖！成为话题！成为榜样！成为国产电影最该有的可能。,1,1
36,徐若风,2018/6/6,30916,4,放在豆瓣语境下，是部时至今日终于拍出来的国产“高分韩国电影”。拿现实题材拍商业类型片，社会意义摆在那，群戏也处理得相当不错。对我们国家而言，这样的电影多一部是一部，走一步是一步。,1,1
37,桃桃林林,2018/6/19,21675,4,最大的病，其实是穷病。真的被感动了，整体都很成熟，也有些许韩片的影子。几个演员表演都非常出色。可看性和内在的表达都不错。这个世界最荒诞在于，越贴近真实，真实越荒诞。人这一生，太不易了。最后，王传君，加油哦！,1,1
39,木卫二,2018/7/4,4416,3,只要提到价值，中国电影的标准便会坍塌。明眼人都看得出，幕后黑哪是一脸奸相的大药厂，又或者，结尾辩方律师可以再底气不足一些。前后大发感言的两名老太，表演模式有何本质不同。徐峥的转变与倒贴，全是目睹惨相的愧疚觉悟——而在这样一部电影里，最不缺的就是惨。被消灭的，何止是戴口罩的病人,1,0
40,法兰西胶片,2019/10/25,23416,4,曾国祥好得有点不能理解了，他是用什么意识拍出模拟考试结束后全班按分数重新排座位然后整个班级在那搬桌搬椅搬来搬去的，他怎么知道这么多大陆青少年不自觉的常识的？并且搬桌子的形态和校外不良少年打麻将做成生存质感上的呼应，生而围困，出局即亡。《少年的你》远不是反欺凌所覆盖得了的，成人毒鸡汤的灌输（长大就是一场跳水），青春期微妙的问候（热不热？硬不硬？），惊悚元素活学活用（开场自杀戏调度），剪辑上的神功（高...曾国祥好得有点不能理解了，他是用什么意识拍出模拟考试结束后全班按分数重新排座位然后整个班级在那搬桌搬椅搬来搬去的，他怎么知道这么多大陆青少年不自觉的常识的？并且搬桌子的形态和校外不良少年打麻将做成生存质感上的呼应，生而围困，出局即亡。《少年的你》远不是反欺凌所覆盖得了的，成人毒鸡汤的灌输（长大就是一场跳水），青春期微妙的问候（热不热？硬不硬？），惊悚元素活学活用（开场自杀戏调度），剪辑上的神功（高考试卷开封镜头切挖掘机镜头），有点超出想象了。和导演的神奇一起起步的还有周冬雨开挂三年的神演技，到现在真实的不可阻挡了，越是需要封闭空间上的情绪，死角中被制压的求生欲，越是能调动起来，她所有的笑着哭或哭着笑都是最多义的，还有她特别经得起卡在额头到下巴的大特写，她是表演坚定的弱者的天才。,1,1
42,王大根,2019/10/25,19374,4,修改的部分应该不多，估计就是删除了跳楼尸体和一些霸凌的正面镜头？本来以为会是比较虚化背景的文艺青春片，没想到高考元素竟然占了相当大的比重，简直有点《毛坦厂中学高考杀人事件》的意思了，Good Choice！易烊千玺戏份不算特别多，但也没太掉链子，当然其实还是周冬雨主场，这么看来一个周冬雨吊打八个马思纯也没问题啊……我不得不由衷地感叹，国内第一代养成系偶像终于愿意长大了，能演吻戏了，能抽烟了，最重要...修改的部分应该不多，估计就是删除了跳楼尸体和一些霸凌的正面镜头？本来以为会是比较虚化背景的文艺青春片，没想到高考元素竟然占了相当大的比重，简直有点《毛坦厂中学高考杀人事件》的意思了，Good Choice！易烊千玺戏份不算特别多，但也没太掉链子，当然其实还是周冬雨主场，这么看来一个周冬雨吊打八个马思纯也没问题啊……我不得不由衷地感叹，国内第一代养成系偶像终于愿意长大了，能演吻戏了，能抽烟了，最重要的是能开黄腔了！我们老姐姐等这一天等了多久啊……,1,1
43,你是猪,2019/10/25,13364,5,这部电影真的太有心了，身在绝处的时候突然在眼前出现了一道光，小北和陈念是彼此生命中的那道光，小北不想让陈念在泥泞里，努力把她推向美好的未来的这个设定真的太戳我了，救赎向真的很感动。而两位主演也诠释的很好，所有情绪都很到位，周冬雨一如既往的好，四字弟弟是第一次登上大荧幕，也很让我敬佩，导演真的很有心，谢谢有这么好的电影出现，祝票房大卖。,1,1
44,桃桃林林,2019/10/25,7729,4,这个题材，做成这样，真的很不容易了。尤其是，影片在影像上非常有特点，大量的特写镜头、跟拍、手持，以及碎片式剪辑，营造出强烈的恐慌与不安感。这种情绪，其实就是角色在片中的情绪，它以影像的方式，最直接延伸给观众。易烊千玺和周冬雨的表现都很不错，起码，他们都经住了大银幕特写的考验，而且，又都有各自的变化。导演其实很多小野心，比如可以看看他是怎么处理校园空间和调度的。“只有你赢，我才不算输”，很伤感，也很...这个题材，做成这样，真的很不容易了。尤其是，影片在影像上非常有特点，大量的特写镜头、跟拍、手持，以及碎片式剪辑，营造出强烈的恐慌与不安感。这种情绪，其实就是角色在片中的情绪，它以影像的方式，最直接延伸给观众。易烊千玺和周冬雨的表现都很不错，起码，他们都经住了大银幕特写的考验，而且，又都有各自的变化。导演其实很多小野心，比如可以看看他是怎么处理校园空间和调度的。“只有你赢，我才不算输”，很伤感，也很中二。,1,1
