,user,comment_time,votes,rating,text,sentiment,feedback
2,伍德与夏洛蒂,2011/4/8,35,4,今天突然莫名其妙想起这主题曲，还不自觉的唱了出来。虽然对于原型并无任何好感，但当时很喜欢这部剧。,1,1
3,未末,2011/12/19,39,4,"大学里因为感觉太悲，没有看下去。现在经历的事情多了，觉得他们的故事也没那么悲了。老天最公平，张幼仪没爱情，可她有尊严，有儿子，有幸福。林徽因有万千宠爱，但没寿命。陆小曼有爱情，但没幸福。徐志摩只为爱情疯，没责任，没担承，老天罚他英年早逝。这评价很靠谱


",1,1
6,泼墨造马追姑娘,2013/8/31,0,4,基佬片拍得这么温馨令人回味非常不错，两个好基友没有选择，所以他们回不去了。,0,1
8,D.K.Xu,2014/6/1,0,2,演技太差啦,0,-1
9,Dorothy,2014/4/15,0,3,算是不錯的香港同志短片，只是扭橋方面略為有點俗套，至於學生作品來說已經比同校的優秀多倍。記得看過一部同是浸大的女同的短片，又要玩花俏、玩謎，玩到暈陀陀。起碼這部片是腳踏實地去拍，已經是不錯了。導演加油吧。,1,0
10,littledepp,2015/4/23,270,3,简直就是Lively一个人的电影。好身材与服装走马灯花是唯一看点，被雷击中时简直走近科学即视感。但这样的电影不以悲剧收尾就是一大浪费，而且和爸爸儿子都有一腿最后还和和气气和儿子生活在一起什么鬼嘛像我这样的禁忌控都受不了。说真的很不喜欢男主的长相啊啊_(:з」∠)_,1,0
12,Carf,2015/4/17,73,3,很一般的奇幻故事告诉对于年龄敏感的女人们，与其渴望青春不老不如努力让爱情永驻。,1,0
13,我妲己很牛逼,2015/4/16,61,3,果然是越多期待就越失望，本以为这样的题材是永远不会拍烂的，比如《本杰明巴顿奇事》，比如《这个男人来自地球》。导演编剧是韩剧看多了吗！诶！旁白真是神烦！！多希望Adaline可以永远年轻下去！真是可惜了好演员！好概念！！,1,0
15,琉璃影形,2020/4/9,0,2,很有诚意的在讲很俗套的小成本驱魔人故事,1,-1
21,阿北,2010/7/12,13,4,瑞典好看电影,1,1
23,搬砖少年,2012/2/5,2,4,结局差口气...前130分钟几乎完美,1,1
26,ラーメン子,2016/1/11,37,5,牛逼，真的牛逼，牛逼到我除了说牛逼都不想再扯东扯西扯一堆分析 。2016年1月，新年伊始SHAFT和尾石就在2016年中预定上映的剧场动画们面前竖起了一堵难以翻越的高墙，当然面临挑战的同时也包括了接下来的热血篇和冷血篇。（说来这里的评论是怎么回事各种奇奇怪怪的穿越评论_(:3｣∠)_,1,1
27,[已注销],2016/7/27,10,5,(可我没变吸血鬼夏天也能烧起来) 手绘3D 除了一样的絮叨之外 跟读小说时脑补的场面落差很大 虽说是早春但为免太肃杀了 背景死气沉沉已经到无机质了(除了乌鸦) '废墟'当前满血状态但干净过分 有保洁天天打扫吗 或者是懒得渲染 感觉预算一半烧在画头发上 名曰赌上尊严 写作拼上老命,1,1
28,火山与羊,2016/7/29,16,5,没能在影院看这部作品有些遗憾，场景作画和音乐赞到令人震惊（不过在我国影院大概看不到班长的内裤，所以我还是自己在家舔好了）。电影一改tv版的独白话唠风格，努力用画面表达一切，不是说不好，但总觉得信息量有那么一丁点少啊。剧情总结：少年好心救人反被讹，欠下外债200万。,1,1
29,水仙操,2017/2/27,2,5,天国的伤物语有生之年系列 高三怪异前的垃圾君还是那个认为交朋友会降低人类强度的孤高少年啊 同时也是比谁都温柔的老好人 地铁维纳斯 御姐刃下心,1,1
30,飞刀员外,2008/6/10,134,3,70一部欢快、乐观的影片。角色塑造的并不好，过强的叙事减弱了对人物的刻画。故事又比较一般，骗术看起来像儿戏，把反面角色完全当成了笨蛋。剧情长度也很失败，两个多小时就为了这个简单的故事，抻长的结果是整个故事很散，缺少应有的紧张感。用图片把故事分开章节，让故事变得更加廉价、幼稚、松散,1,0
31,boks,2008/8/5,34,5,hustle因袭和抄袭不少，呵呵,0,1
32,陆支羽,2010/6/14,39,5,包袱抖得很出彩，间离效果也不错，主角们的演技亦平分秋色，但我唯爱那蜻蜓点水的可爱配乐。,1,1
34,冰红深蓝,2015/5/24,3,3,这货是怎么拿到奥斯卡最佳影片的？《驱魔人》《呼喊与细语》明显更配得上获奖啊。除了保罗·纽曼和罗伯特·雷德福两大帅哥的表演和结尾的反转外，基本没啥看头。第一次看美国老片看到差点睡死过去。叙事节奏太慢，情节也显得幼稚，大反派竟然如此不堪一击，也是醉了。哦，配乐不错。（7.5'10）,1,0
